content,rate,rate_label,time,user_name,subject_id,anime_title
486可爱捏,7,推荐,36m ago,樱,431767,girls band cry
动画做的很好，小智可爱捏，仁菜的声线说实话有些撑不起来乐曲的感觉。,8,力荐,17h 1m  ago,KNWking,431767,girls band cry
制作非常好，我还挺喜欢仁菜的这种性格,8,力荐,17h 23m  ago,大老师,431767,girls band cry
补标,7,推荐,22h 13m  ago,NGyukien,431767,girls band cry
爽就完了,8,力荐,1d 18h ago,懒馒头片,431767,girls band cry
好看,7,推荐,2d 8h ago,loveanime,431767,girls band cry
看完Mygo，Mujica再看的这个。虽然屎已经咽下去了，但是多多来点薄荷冰爽漱口水总是好的很。,9,神作,2d 18h ago,狗头鸵鸟,431767,girls band cry
歌超好听，情感和画面都很细腻，人物的成长也不突兀，整体观感非常好，最后的live结尾也非常不错，期待续作表现吧,9,神作,2026-5-2 11:24,npk,431767,girls band cry
不错的乐队番，可惜梗小鬼太多污染环境，个人认为只是看个乐呵的话可能比mygo强一点，可惜我更喜欢mygo,7,推荐,2026-5-2 10:53,B小町大队长,431767,girls band cry
5/8：相比众多偶像音乐企划写rock和地下系故事在安全区转圈，花田这次地下系真实案例既视感过强了。看到了很多P主还是小屁孩时候（笑）的影子。,8,力荐,2026-5-1 12:33,SeikE_AnuL,431767,girls band cry
女主各种表情挺好玩的／／总感觉自己年纪大了，对女主这种跳脱的性格有点接受不能，新时代的小登太皮了／／一如既往可以猜到的欲扬先抑的剧情,8,力荐,2026-4-30 17:34,久远摆动的纪元,431767,girls band cry
【刚来东京的仁菜有股纯真的美呀，直白点说就是傻白甜】【这灯质量挺好呀】【仁菜是个倔犟的小孩，句句诛桃香的心呀】【怎么感觉乐队五个人凑不出一张高中毕业z】【昂真的是团队天使，黑长直赛高】【怪不得仁菜被叫小孩姐，她的行为和思考都有种理想主义的美，还有那语言与行动上的执拗，让我不禁感慨，刻画的小孩姐形象真的很立体】【小孩姐和父母和解这一段感情戏目前给我的观感最好了，误会解除，家庭和睦，可喜可贺，最后俩次睡过，前一次是对生活的迷茫，后一次是对未来的憧憬】【最后拿着吉他一顿乱弹，莫名有点搞笑，结尾确实有点仓促，感觉莫名其妙的就把饺子包起来了】,7,推荐,2026-4-30 14:50,林遇夕,431767,girls band cry
堪称恐怖的3d制作水平加上明显是用心打磨过的剧本，在人才辈出的少女乐队题材作品中也是相当优秀的，角色和歌曲我个人也非常喜欢，可惜热度平平,9,神作,2026-4-29 18:44,konoDIOdadada,431767,girls band cry
是的，我超喜欢你,8,力荐,2026-4-29 08:28,超高校级的草履虫,431767,girls band cry
6.5-7.0,6,还行,2026-4-28 11:19,紅莉栖,431767,girls band cry
呐喊吧！,9,神作,2026-4-27 23:08,恶魔の子,431767,girls band cry
花田的魔法最滥用的一集,7,推荐,2026-4-27 21:17,sagume,431767,girls band cry
吵架有点难蚌，结尾太仓促的感觉，但是总体来说观感很不错，演出也很惊艳,10,超神作,2026-4-27 14:57,RE.雨宫,431767,girls band cry
最喜欢第九集,8,力荐,2026-4-27 14:13,凌壹,431767,girls band cry
不赖,8,力荐,2026-4-26 21:57,鱼鱼鱼,431767,girls band cry
让人看到了日式3D动画更多的可能性，角色灵活的表情、动作、场景交互都观感很好。结尾仓促得令人惋惜。op和空箱都挺好听。,7,推荐,2026-4-26 19:26,库莉库拉,431767,girls band cry
由于噱头进的收藏，现已经搁置,0,未评分,2026-4-25 23:30,ホロ,431767,girls band cry
前半段还觉得有点尬有点无聊，看到后面觉得还不错，越来越好看的感觉。不过最后一集不和钻尘对邦而是退社，从现实中的角度来看也太扯了，刺团其他人就因为听完nina的悲惨霸凌经历之后决定和nina组一辈子乐队？rupa和tomo的职业梦就因为nina的任性而不追了？武道馆演出的目标就这么放弃了？,7,推荐,2026-4-25 21:37,DoHowie,431767,girls band cry
kyky,8,力荐,2026-4-25 17:39,Megumin,431767,girls band cry
3d风格很戳我,7,推荐,2026-4-25 16:16,一只大植物,431767,girls band cry
486daze,7,推荐,2026-4-25 12:28,洞爷湖,431767,girls band cry
不错,7,推荐,2026-4-25 05:08,千代田 桃,431767,girls band cry
斯巴鲁desu！～,9,神作,2026-4-23 09:08,Yukino,431767,girls band cry
断断续续看到ep5，本来看番体验挺好的，突然小孩姐蹦出一句“因为我们明明没有错！”直接激起了我的恐高ptsd（“更何况，泷老师他…又没做错任何事！”）。我就问有没有可能，gbc剧情看起来还行，不是因为花田懂摇滚，而只是因为花田三板斧惯用的“正论怪物”刚好能套上摇滚精神的皮呢？,7,推荐,2026-4-22 23:07,Multidimensional,431767,girls band cry
追到一半就忘了这番，时隔一年我终于看完了。没错，我就是来看女人吵架的。补完发现比看mygo还要欢快，都是高手如云的番，mygo更戏剧性，这部则更有情绪。个人观感而言，这部虽然整的活没mygo那么多，但看得更有趣，让我笑得更欢，人物面部表情是加分项啊,8,力荐,2026-4-22 19:59,BGMを持参する,431767,girls band cry
7.5,8,力荐,2026-4-22 13:46,雷闪,431767,girls band cry
没有人类了，还得是昂昂昂昂昂昂昂昂昂昂昂昂昂昂昂昂昂昂,6,还行,2026-4-19 22:51,ひいらぎ京介,431767,girls band cry
"其实是只有7分的，但是由于个人情感因素可以给8分（已严肃因为剧场版跟13集和解）
gbc对我就是那种不是最好的但是是印象最深刻的，或许我永远都忘不了在出租车上迎着夕阳看到11集live的那个下午了",8,力荐,2026-4-19 18:39,1232,431767,girls band cry
留下抓痕,8,力荐,2026-4-19 14:00,include_c,431767,girls band cry
Live太平淡了,6,还行,2026-4-18 16:45,鲸落冬至,431767,girls band cry
其实并不摇滚，小孩姐被导演附身以后人设割裂，对于家庭问题也只是包饺子，这哪摇滚了，软化反抗精神不可取（编剧还是得给其他staff磕一个）,7,推荐,2026-4-18 03:33,量产型_Lilin,431767,girls band cry
个人认为是近些年3D动画的代表作，之前一直对3渲2有刻板印象，但是看了GBC以后，才发现3D动画的制作也能如此精良,7,推荐,2026-4-17 23:08,是瓜子酱,431767,girls band cry
这个才是好看的少女乐队，那俩都是什么CJB玩意儿，，。,8,力荐,2026-4-17 22:53,在水上涂油漆,431767,girls band cry
第3集live放完该多好，ed更是厨力拉满了,8,力荐,2026-4-17 00:05,jwajzh,431767,girls band cry
"超级Q弹动态的3D表现技术力，以及和去年Mygo完全不同的正经现实向主线，如果说Mygo在疯狂之后留下的是bt的狂欢，那么GBC则有爱马仕的王道之路影子。
nina声线的歌也很带感，那种锐利中带点小孩的感觉很不错，这位真的希望有续作，而不是某A队那样烂爆（）",8,力荐,2026-4-16 18:49,YouYi幽依,431767,girls band cry
有第二季就是9分，没第二季就是7分，不上不下先给个8分把，目前来看第二季遥遥无期,8,力荐,2026-4-15 20:56,Voyager星辰,431767,girls band cry
看过就忘,6,还行,2026-4-15 19:36,黑田空辰,431767,girls band cry
很明显的感情推着剧情走而非剧情衍生感情，重感情的作品，极挑受众,8,力荐,2026-4-13 00:21,Duan,431767,girls band cry
不太懂搞音乐的,6,还行,2026-4-12 20:28,夏凪,431767,girls band cry
不！登！校！,7,推荐,2026-4-12 13:13,木目,431767,girls band cry
